"ID"	"State"	"InitialState"
"TCGA.05.4249.01A.01R.1107.07"	"S01"	"IS02"
"TCGA.55.6983.01A.11R.1949.07"	"S01"	"IS02"
"TCGA.69.7761.01A.11R.2170.07"	"S01"	"IS02"
"TCGA.93.7347.01A.11R.2187.07"	"S01"	"IS02"
"TCGA.73.4662.01A.01R.1206.07"	"S01"	"IS02"
"TCGA.60.2721.01A.01R.0851.07"	"S01"	"IS02"
"TCGA.86.7701.01A.11R.2170.07"	"S01"	"IS02"
"TCGA.85.A513.01A.12R.A26W.07"	"S01"	"IS02"
"TCGA.22.4596.01A.01R.1201.07"	"S01"	"IS02"
"TCGA.38.7271.01A.11R.2039.07"	"S01"	"IS02"
"TCGA.95.8039.01A.11R.2241.07"	"S01"	"IS02"
"TCGA.97.A4LX.01A.11R.A24X.07"	"S01"	"IS02"
"TCGA.85.8287.01A.11R.2296.07"	"S01"	"IS02"
"TCGA.77.8133.01A.12R.2247.07"	"S01"	"IS02"
"TCGA.60.2712.01A.01R.0851.07"	"S01"	"IS02"
"TCGA.99.7458.01A.11R.2039.07"	"S01"	"IS02"
"TCGA.44.5645.01A.01R.1628.07"	"S01"	"IS02"
"TCGA.55.6971.01A.11R.1949.07"	"S01"	"IS02"
"TCGA.46.3766.01A.01R.0980.07"	"S01"	"IS02"
"TCGA.MP.A4TJ.01A.51R.A262.07"	"S01"	"IS02"
"TCGA.MP.A4T9.01A.11R.A24X.07"	"S02"	"IS08"
"TCGA.55.6983.11A.01R.1949.07"	"S02"	"IS08"
"TCGA.44.6776.11A.01R.1858.07"	"S02"	"IS08"
"TCGA.77.7335.11A.01R.2045.07"	"S02"	"IS08"
"TCGA.69.8453.01A.12R.2326.07"	"S02"	"IS08"
"TCGA.38.A44F.01A.11R.A24H.07"	"S02"	"IS08"
"TCGA.NJ.A4YI.01A.11R.A262.07"	"S02"	"IS08"
"TCGA.77.7138.11A.01R.2045.07"	"S02"	"IS08"
"TCGA.44.6778.11A.01R.1858.07"	"S02"	"IS08"
"TCGA.O1.A52J.01A.11R.A262.07"	"S02"	"IS08"
"TCGA.55.6971.11A.01R.1949.07"	"S02"	"IS08"
"TCGA.51.4081.11A.01R.1758.07"	"S02"	"IS08"
"TCGA.77.7337.11A.01R.2045.07"	"S02"	"IS08"
"TCGA.91.8496.01A.11R.2403.07"	"S02"	"IS08"
"TCGA.55.8510.01A.11R.2403.07"	"S02"	"IS08"
"TCGA.22.5481.11A.01R.1949.07"	"S02"	"IS08"
"TCGA.22.5478.11A.11R.1635.07"	"S02"	"IS08"
"TCGA.38.4625.11A.01R.1758.07"	"S02"	"IS08"
"TCGA.55.8619.01A.11R.2403.07"	"S02"	"IS08"
"TCGA.43.6647.11A.01R.1820.07"	"S02"	"IS08"
"TCGA.NJ.A4YG.01A.22R.A262.07"	"S02"	"IS08"
"TCGA.NC.A5HJ.01A.11R.A26W.07"	"S02"	"IS08"
"TCGA.50.5931.11A.01R.1858.07"	"S02"	"IS08"
"TCGA.44.5645.11A.01R.1628.07"	"S02"	"IS08"
"TCGA.91.6836.11A.01R.1858.07"	"S02"	"IS08"
"TCGA.55.8207.01A.11R.2241.07"	"S02"	"IS08"
"TCGA.50.5935.11A.01R.1858.07"	"S02"	"IS08"
"TCGA.56.7582.11A.01R.2045.07"	"S02"	"IS08"
"TCGA.66.2786.01A.01R.0851.07"	"S02"	"IS08"
"TCGA.56.8309.11A.01R.2296.07"	"S02"	"IS08"
"TCGA.44.6777.11A.01R.1858.07"	"S02"	"IS08"
"TCGA.22.4593.11A.01R.1820.07"	"S02"	"IS08"
"TCGA.97.7553.01A.21R.2039.07"	"S02"	"IS08"
"TCGA.43.3394.11A.01R.1758.07"	"S02"	"IS08"
"TCGA.91.6849.11A.01R.1949.07"	"S02"	"IS08"
"TCGA.38.4628.01A.01R.1206.07"	"S02"	"IS08"
"TCGA.35.4122.01A.01R.1107.07"	"S03"	"IS05"
"TCGA.50.6590.01A.12R.1858.07"	"S03"	"IS05"
"TCGA.MP.A4T4.01A.11R.A262.07"	"S03"	"IS05"
"TCGA.63.6202.01A.11R.1820.07"	"S03"	"IS05"
"TCGA.78.8660.01A.11R.2403.07"	"S03"	"IS05"
"TCGA.50.5049.01A.01R.1628.07"	"S03"	"IS05"
"TCGA.50.5066.01A.01R.1628.07"	"S03"	"IS05"
"TCGA.39.5011.01A.01R.1443.07"	"S03"	"IS05"
"TCGA.69.7978.01A.11R.2187.07"	"S03"	"IS05"
"TCGA.55.8085.01A.11R.2241.07"	"S03"	"IS05"
"TCGA.86.6851.01A.11R.1949.07"	"S03"	"IS05"
"TCGA.43.A475.01A.11R.A24H.07"	"S03"	"IS05"
"TCGA.58.8393.01A.11R.2326.07"	"S03"	"IS05"
"TCGA.05.4410.01A.21R.1858.07"	"S03"	"IS05"
"TCGA.21.1076.01A.01R.0692.07"	"S03"	"IS05"
"TCGA.55.8301.01A.11R.2287.07"	"S03"	"IS05"
"TCGA.85.7699.01A.11R.2125.07"	"S03"	"IS05"
"TCGA.05.5425.01A.02R.1628.07"	"S03"	"IS05"
"TCGA.77.8156.01A.11R.2247.07"	"S03"	"IS05"
"TCGA.66.2767.01A.01R.0851.07"	"S03"	"IS05"
"TCGA.44.6775.01A.11R.1858.07"	"S04"	"IS11"
"TCGA.63.A5MM.01A.11R.A26W.07"	"S04"	"IS11"
"TCGA.66.2800.01A.01R.1201.07"	"S04"	"IS11"
